,city,latitude,longitude,distance,runners,population,canton
0,St-Légier-La Chiésaz,46.47171849999999,6.876770899999999,0.2491521457488381,12,nan,nan
1,St-Légier,46.47171849999999,6.876770899999999,0.2491521457488381,57,nan,nan
2,Ernen,46.39850010000001,8.1457733,1.5183412309594864,1,nan,nan
3,Lausanne,46.5196535,6.6322734,0.0,2043,135629,VD
4,Pully,46.5092681,6.6654949,0.03480696188135247,312,17807,VD
5,Chavannes-près-Renens,46.5316376,6.574969599999999,0.0585435235295094,56,nan,nan
6,F-Amiens,49.894067,2.295753,5.494731626621852,1,nan,nan
7,Genève,46.2043907,6.1431577,0.5819147712941558,503,nan,nan
8,Poliez-le-Grand,46.63767,6.66287,0.12191819472011027,6,nan,nan
9,E-L'Hospitalet de Llobreg,41.3661865,2.1164942,6.852042316217964,1,nan,nan
10,Zürich,47.3768866,8.541694,2.093020691593844,133,396027,ZH
11,E-Madrid,40.4167754,-3.7037902,12.00330503847605,9,nan,nan
12,Lully VD,46.50538,6.4653546,0.16752796362306108,11,nan,nan
13,Rolle,46.4612971,6.3397549,0.2982826549821649,46,6109,VD
14,F-Crespieres,48.880904,1.918497,5.272114554232222,1,nan,nan
15,Epalinges,46.54885729999999,6.674199,0.05109420583392445,184,nan,nan
16,Sion,46.2331221,7.360625999999999,0.7826862418062013,53,33532,VS
17,RUS-Ufa,54.7387621,55.9720554,50.019674469013864,2,nan,nan
18,Etoy,46.4860297,6.4192307,0.21567974394859046,32,nan,nan
19,F-Dardilly,45.805587,4.753184,2.010191020678035,3,nan,nan
20,Le Mont-sur-Lausanne,46.55331229999999,6.6339915,0.0337026213379519,129,nan,nan
21,Bex,46.24998470000001,7.014266399999999,0.4675894713767947,21,nan,nan
22,J-Kanagawa,35.4475073,139.6423446,133.47011449048526,2,nan,nan
23,GB-London,51.5073509,-0.1277583,8.400901971751107,23,nan,nan
24,F-Reignier,46.138178,6.2666019,0.5284308876404696,4,nan,nan
25,CZ-Dubi,50.6810392,13.7888466,8.278506562848323,1,nan,nan
26,F-Neydens,46.120361,6.104318,0.6619451676275045,2,nan,nan
27,Chardonne,46.4769475,6.8342278,0.20642040140296114,22,nan,nan
28,Chexbres,46.481692,6.7788078,0.15137174725030306,34,nan,nan
29,Cheseaux-sur-Lausanne,46.585452,6.6047712,0.07131489050044137,72,nan,nan
