,Unnamed: 0,Date,Name,Place,URL,min_temp,max_temp,uv_index,weather_desc
0,0,sam. 27.03.1999,Männedörfler Waldlauf,Männedorf,http://services.datasport.com/1999/zkb/maennedorf,,,,
1,1,sam. 20.03.1999,Kerzerslauf,Kerzers,http://services.datasport.com/1999/lauf/kerzers,,,,
2,2,sam. 24.04.1999,Luzerner Stadtlauf,Luzern,http://services.datasport.com/1999/lauf/luzern,,,,
3,3,sam. 24.04.1999,20km de Lausanne,Lausanne,http://services.datasport.com/1999/lauf/km20,,,,
4,4,sam. 24.04.1999,"Chäsitzerlouf, Kehrsatz",Kehrsatz,http://services.datasport.com/1999/lauf/kehrsatz,,,,
5,5,sam. 17.04.1999,Zumiker-Lauf,Zumikon,http://services.datasport.com/1999/zkb/zumiker,,,,
6,6,sam. 10.04.1999,Schwyzer Halbmarathon,Schwyz,http://services.datasport.com/1999/lauf/schwyz,,,,
7,7,sam. 10.04.1999,GP der Stadt Dübendorf,Dübendorf,http://services.datasport.com/1999/zkb/duebi,,,,
8,8,lun. 05.04.1999,"Osterlauf, Muri",Muri AG,http://services.datasport.com/1999/lauf/muri,,,,
9,9,lun. 05.04.1999,"Giro Media Blenio, Dongio",Dongio,http://services.datasport.com/1999/lauf/blenio,,,,
10,10,sam. 03.04.1999,"GP Fricktal, Eiken",Eiken,http://services.datasport.com/1999/lauf/eiken,,,,
11,11,sam. 29.05.1999,Thuner Langstreckenlauf,Thun,http://services.datasport.com/1999/lauf/langthun,,,,
12,12,sam. 29.05.1999,Laufsporttag Winterthur,Winterthur,http://services.datasport.com/1999/zkb/winterthur,,,,
13,13,sam. 22.05.1999,Pfingstlauf Wohlen AG,Wohlen AG,http://services.datasport.com/1999/lauf/wohlen,,,,
14,14,mer. 19.05.1999,BCN Tour #6 Neuchâtel,Neuchâtel,http://services.datasport.com/1999/tdcn/neuchatel,,,,
15,15,sam. 15.05.1999,Grüninger Volkslauf,Grüningen,http://services.datasport.com/1999/lauf/grüningen,,,,
