,date,name,location,url,min_temp,max_temp,uv_index,weather_desc,latitude,longitude,weekday,day,month,year
0,sam. 27.03.1999,Männedörfler Waldlauf,Männedorf,http://services.datasport.com/1999/zkb/maennedorf,,,,,47.2574625,8.6946733,saturday,27,3,1999
1,sam. 20.03.1999,Kerzerslauf,Kerzers,http://services.datasport.com/1999/lauf/kerzers,,,,,46.97488999999999,7.1954365,saturday,20,3,1999
2,sam. 24.04.1999,Luzerner Stadtlauf,Luzern,http://services.datasport.com/1999/lauf/luzern,,,,,47.05016819999999,8.3093072,saturday,24,4,1999
3,sam. 24.04.1999,20km de Lausanne,Lausanne,http://services.datasport.com/1999/lauf/km20,,,,,46.5196535,6.6322734,saturday,24,4,1999
4,sam. 24.04.1999,"Chäsitzerlouf, Kehrsatz",Kehrsatz,http://services.datasport.com/1999/lauf/kehrsatz,,,,,,,saturday,24,4,1999
5,sam. 17.04.1999,Zumiker-Lauf,Zumikon,http://services.datasport.com/1999/zkb/zumiker,,,,,,,saturday,17,4,1999
6,sam. 10.04.1999,Schwyzer Halbmarathon,Schwyz,http://services.datasport.com/1999/lauf/schwyz,,,,,,,saturday,10,4,1999
7,sam. 10.04.1999,GP der Stadt Dübendorf,Dübendorf,http://services.datasport.com/1999/zkb/duebi,,,,,47.3971476,8.618012799999999,saturday,10,4,1999
8,lun. 05.04.1999,"Osterlauf, Muri",Muri AG,http://services.datasport.com/1999/lauf/muri,,,,,,,monday,5,4,1999
9,lun. 05.04.1999,"Giro Media Blenio, Dongio",Dongio,http://services.datasport.com/1999/lauf/blenio,,,,,,,monday,5,4,1999
10,sam. 03.04.1999,"GP Fricktal, Eiken",Eiken,http://services.datasport.com/1999/lauf/eiken,,,,,,,saturday,3,4,1999
11,sam. 29.05.1999,Thuner Langstreckenlauf,Thun,http://services.datasport.com/1999/lauf/langthun,,,,,46.7579868,7.6279881,saturday,29,5,1999
12,sam. 29.05.1999,Laufsporttag Winterthur,Winterthur,http://services.datasport.com/1999/zkb/winterthur,,,,,39.8088766,-75.6037351,saturday,29,5,1999
13,sam. 22.05.1999,Pfingstlauf Wohlen AG,Wohlen AG,http://services.datasport.com/1999/lauf/wohlen,,,,,47.3493653,8.2768762,saturday,22,5,1999
